project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	spectrophotometer_method	state	well_number
TCGA-LGG	106709ec-72df-44f0-8c71-87b7c755f8f0	TCGA-FG-8188	81aba7e5-0749-4a9c-b1a6-902b18e49573	TCGA-FG-8188-10A	52a36039-83dd-42ea-98af-61a1e2b88b57	TCGA-FG-8188-10A-01	0925c593-6020-4296-8e31-0554cf8efec4	TCGA-FG-8188-10A-01D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	PicoGreen	released	'--
TCGA-LGG	106709ec-72df-44f0-8c71-87b7c755f8f0	TCGA-FG-8188	81aba7e5-0749-4a9c-b1a6-902b18e49573	TCGA-FG-8188-10A	52a36039-83dd-42ea-98af-61a1e2b88b57	TCGA-FG-8188-10A-01	d6a83c13-d41f-45d8-b09d-483d11e938f3	TCGA-FG-8188-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-LGG	106709ec-72df-44f0-8c71-87b7c755f8f0	TCGA-FG-8188	7769a93b-f0a6-4df0-ad24-1da11d0979c7	TCGA-FG-8188-01A	b300f016-8ad5-4ccc-96fe-f156cf5003fc	TCGA-FG-8188-01A-11	5ba443be-7281-4cac-80c3-9d22a87773d1	TCGA-FG-8188-01A-11R	'--	'--	'--	RNA	R	'--	0.13	'--	'--	UV Spec	released	'--
TCGA-LGG	106709ec-72df-44f0-8c71-87b7c755f8f0	TCGA-FG-8188	7769a93b-f0a6-4df0-ad24-1da11d0979c7	TCGA-FG-8188-01A	b300f016-8ad5-4ccc-96fe-f156cf5003fc	TCGA-FG-8188-01A-11	c0b2048c-0167-4b3b-8ebc-960c33e94756	TCGA-FG-8188-01A-11D	'--	'--	'--	DNA	D	'--	0.13	'--	'--	PicoGreen	released	'--
TCGA-LGG	106709ec-72df-44f0-8c71-87b7c755f8f0	TCGA-FG-8188	7769a93b-f0a6-4df0-ad24-1da11d0979c7	TCGA-FG-8188-01A	b300f016-8ad5-4ccc-96fe-f156cf5003fc	TCGA-FG-8188-01A-11	d66b10cf-f25d-4476-a065-53b6011e7f7a	TCGA-FG-8188-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-LGG	1a20f675-d9bb-48b0-a49f-d52270bd8973	TCGA-HT-A74J	a29fbd4e-42f2-446a-9b78-ca084422dc91	TCGA-HT-A74J-01A	eb4931d8-cebb-473d-8a5c-a227e85043e4	TCGA-HT-A74J-01A-12	5458b5d8-9fc7-4577-bb5b-5b664f70a567	TCGA-HT-A74J-01A-12W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	released	'--
TCGA-LGG	1a20f675-d9bb-48b0-a49f-d52270bd8973	TCGA-HT-A74J	a29fbd4e-42f2-446a-9b78-ca084422dc91	TCGA-HT-A74J-01A	eb4931d8-cebb-473d-8a5c-a227e85043e4	TCGA-HT-A74J-01A-12	8f9fb0ed-9ddc-42fa-924d-b10c65967778	TCGA-HT-A74J-01A-12R	1.84	'--	'--	RNA	R	'--	0.16	'--	'--	UV Spec	released	'--
TCGA-LGG	1a20f675-d9bb-48b0-a49f-d52270bd8973	TCGA-HT-A74J	a29fbd4e-42f2-446a-9b78-ca084422dc91	TCGA-HT-A74J-01A	eb4931d8-cebb-473d-8a5c-a227e85043e4	TCGA-HT-A74J-01A-12	209c0448-d1b3-4c80-b8be-c67ce453de2e	TCGA-HT-A74J-01A-12D	'--	'--	'--	DNA	D	'--	0.16	'--	'--	PicoGreen	released	'--
TCGA-LGG	1a20f675-d9bb-48b0-a49f-d52270bd8973	TCGA-HT-A74J	c6424f9c-1381-4642-8c6a-e1aa6c8eeb63	TCGA-HT-A74J-10A	cc7a9246-a88a-4518-90e5-2bee67de2167	TCGA-HT-A74J-10A-01	fb77b24b-ec25-4375-8a1e-63c2b699d459	TCGA-HT-A74J-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	released	'--
TCGA-LGG	1a20f675-d9bb-48b0-a49f-d52270bd8973	TCGA-HT-A74J	c6424f9c-1381-4642-8c6a-e1aa6c8eeb63	TCGA-HT-A74J-10A	cc7a9246-a88a-4518-90e5-2bee67de2167	TCGA-HT-A74J-10A-01	06bb5d17-ae76-4f9d-ae2a-e9b482fb041b	TCGA-HT-A74J-10A-01D	'--	'--	'--	DNA	D	'--	0.16	'--	'--	PicoGreen	released	'--
TCGA-LGG	8ed09a8a-3284-4a1b-b369-e25d2fab0f61	TCGA-S9-A6U6	c5bb5c19-716c-441a-94e2-cb83bb2b5a7a	TCGA-S9-A6U6-10A	bca10cc9-225c-41c0-bf14-943b45885ed8	TCGA-S9-A6U6-10A-01	0013b95d-6e52-4bd0-8dd7-a72f30838bde	TCGA-S9-A6U6-10A-01D	'--	'--	'--	DNA	D	'--	0.16	'--	'--	PicoGreen	released	'--
TCGA-LGG	8ed09a8a-3284-4a1b-b369-e25d2fab0f61	TCGA-S9-A6U6	c5bb5c19-716c-441a-94e2-cb83bb2b5a7a	TCGA-S9-A6U6-10A	bca10cc9-225c-41c0-bf14-943b45885ed8	TCGA-S9-A6U6-10A-01	e936b1da-bd2d-4fcd-a0f9-2a016bab0985	TCGA-S9-A6U6-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	released	'--
TCGA-LGG	8ed09a8a-3284-4a1b-b369-e25d2fab0f61	TCGA-S9-A6U6	29536379-befa-43b2-9e9f-acb71a18a7aa	TCGA-S9-A6U6-01A	df96794a-fcbb-4162-a603-f87ab4772dc1	TCGA-S9-A6U6-01A-12	70a0c196-e307-4d28-9e1a-e0ff14fa57da	TCGA-S9-A6U6-01A-12W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	released	'--
TCGA-LGG	8ed09a8a-3284-4a1b-b369-e25d2fab0f61	TCGA-S9-A6U6	29536379-befa-43b2-9e9f-acb71a18a7aa	TCGA-S9-A6U6-01A	df96794a-fcbb-4162-a603-f87ab4772dc1	TCGA-S9-A6U6-01A-12	5ad6a2a9-a962-4090-929d-6046b26c4b74	TCGA-S9-A6U6-01A-12R	1.85	'--	'--	RNA	R	'--	0.17	'--	'--	UV Spec	released	'--
TCGA-LGG	8ed09a8a-3284-4a1b-b369-e25d2fab0f61	TCGA-S9-A6U6	29536379-befa-43b2-9e9f-acb71a18a7aa	TCGA-S9-A6U6-01A	df96794a-fcbb-4162-a603-f87ab4772dc1	TCGA-S9-A6U6-01A-12	419f9736-2a1d-46c8-8cc7-dc3746d0fce1	TCGA-S9-A6U6-01A-12D	'--	'--	'--	DNA	D	'--	0.16	'--	'--	PicoGreen	released	'--
TCGA-LGG	b8df1577-2a75-4eb7-ab27-f2dd76160730	TCGA-DU-8158	3fa8a08c-cd22-4e96-8d41-aa7ca1760436	TCGA-DU-8158-01A	2a7b6a4d-2877-4ecf-bc72-d9b8cc91cff1	TCGA-DU-8158-01A-11	8f074e5e-a14b-4437-ac4e-4f8f691b6ea3	TCGA-DU-8158-01A-11R	'--	'--	'--	RNA	R	'--	0.14	'--	'--	UV Spec	released	'--
TCGA-LGG	b8df1577-2a75-4eb7-ab27-f2dd76160730	TCGA-DU-8158	3fa8a08c-cd22-4e96-8d41-aa7ca1760436	TCGA-DU-8158-01A	2a7b6a4d-2877-4ecf-bc72-d9b8cc91cff1	TCGA-DU-8158-01A-11	681c42a6-ed77-421e-97bc-b263428fb5a8	TCGA-DU-8158-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-LGG	b8df1577-2a75-4eb7-ab27-f2dd76160730	TCGA-DU-8158	3fa8a08c-cd22-4e96-8d41-aa7ca1760436	TCGA-DU-8158-01A	2a7b6a4d-2877-4ecf-bc72-d9b8cc91cff1	TCGA-DU-8158-01A-11	700fe880-e24d-4d12-bb97-c11316aa443b	TCGA-DU-8158-01A-11D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	PicoGreen	released	'--
TCGA-LGG	b8df1577-2a75-4eb7-ab27-f2dd76160730	TCGA-DU-8158	3ce8a018-6039-4bf7-89a1-e421f67b95b6	TCGA-DU-8158-10A	9d2cb57e-d813-48e5-8809-c02b83b1ed8c	TCGA-DU-8158-10A-01	f02acc55-d23a-4a43-aafb-302184eb6331	TCGA-DU-8158-10A-01D	'--	'--	'--	DNA	D	'--	0.13	'--	'--	PicoGreen	released	'--
TCGA-LGG	b8df1577-2a75-4eb7-ab27-f2dd76160730	TCGA-DU-8158	3ce8a018-6039-4bf7-89a1-e421f67b95b6	TCGA-DU-8158-10A	9d2cb57e-d813-48e5-8809-c02b83b1ed8c	TCGA-DU-8158-10A-01	d1e326ae-a439-410f-9e8f-55ebb5e22d4f	TCGA-DU-8158-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-LGG	6a0b306b-f73d-45b2-93a6-b9bd625644a3	TCGA-HT-7692	e06804bd-dfc2-4bca-a9fb-945480910560	TCGA-HT-7692-01A	c00c397e-30f2-408d-8b78-f8591a7a5519	TCGA-HT-7692-01A-12	7e0b1a62-23f1-4747-ae89-716c296fb02a	TCGA-HT-7692-01A-12W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-LGG	6a0b306b-f73d-45b2-93a6-b9bd625644a3	TCGA-HT-7692	e06804bd-dfc2-4bca-a9fb-945480910560	TCGA-HT-7692-01A	c00c397e-30f2-408d-8b78-f8591a7a5519	TCGA-HT-7692-01A-12	de8a1fbf-2704-44c5-913c-6db90114600f	TCGA-HT-7692-01A-12R	'--	'--	'--	RNA	R	'--	0.15	'--	'--	UV Spec	released	'--
TCGA-LGG	6a0b306b-f73d-45b2-93a6-b9bd625644a3	TCGA-HT-7692	e06804bd-dfc2-4bca-a9fb-945480910560	TCGA-HT-7692-01A	c00c397e-30f2-408d-8b78-f8591a7a5519	TCGA-HT-7692-01A-12	b5445e74-dc46-4e2d-8117-9a2a8b23aa41	TCGA-HT-7692-01A-12D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	PicoGreen	released	'--
TCGA-LGG	6a0b306b-f73d-45b2-93a6-b9bd625644a3	TCGA-HT-7692	3a70a39a-ea36-4c96-aaff-48b8db8bf119	TCGA-HT-7692-10A	1acd5138-a6bd-4f8d-8fb0-f8700cd94cfe	TCGA-HT-7692-10A-01	afbaf996-34ed-44d0-b10e-885d4b5605af	TCGA-HT-7692-10A-01D	'--	'--	'--	DNA	D	'--	0.13	'--	'--	PicoGreen	released	'--
TCGA-LGG	6a0b306b-f73d-45b2-93a6-b9bd625644a3	TCGA-HT-7692	3a70a39a-ea36-4c96-aaff-48b8db8bf119	TCGA-HT-7692-10A	1acd5138-a6bd-4f8d-8fb0-f8700cd94cfe	TCGA-HT-7692-10A-01	8ecda5d5-185f-47f1-b829-427a7f8906d8	TCGA-HT-7692-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-LGG	a343fbe3-147a-4656-9e90-5408298ca12c	TCGA-S9-A6U0	182a9f22-b922-4bc8-9ccc-cb43d82ab240	TCGA-S9-A6U0-01A	778f65a3-f473-46a3-9d96-960a5f78e29c	TCGA-S9-A6U0-01A-12	6f2cd541-c5cf-40c3-a360-e09f7b18e0fd	TCGA-S9-A6U0-01A-12D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	PicoGreen	released	'--
